time,code,close,high,low,open,pre-close,change_amount,change_rate,turnover_rate,volume,amount,market_value,l_market_value
2015-01-05,601688,24.57,24.94,23.6,24.89,24.47,0.1,0.4087,4.372,244832642.0,5988230828.0,137592000000.0,137592000000.0
2015-01-06,601688,24.84,25.4,23.8,24.39,24.57,0.27,1.0989,4.4881,251334966.0,6199857388.0,139104000000.0,139104000000.0
2015-01-07,601688,26.89,27.32,24.86,24.99,24.84,2.05,8.2528,8.374,468941564.0,12560991019.0,150584000000.0,150584000000.0
2015-01-08,601688,25.21,26.8,24.85,26.7,26.89,-1.68,-6.2477,6.1686,345442534.0,8835898893.0,141176000000.0,141176000000.0
2015-01-09,601688,24.95,26.4,24.74,24.9,25.21,-0.26,-1.0313,4.9043,274640808.0,6999685817.0,139720000000.0,139720000000.0
2015-01-12,601688,24.32,25.48,23.98,25.1,24.95,-0.63,-2.5251,3.6025,201740125.0,4976520782.0,136192000000.0,136192000000.0
2015-01-13,601688,23.89,24.99,23.66,24.81,24.32,-0.43,-1.7681,3.3902,189851982.0,4609737575.0,133784000000.0,133784000000.0
2015-01-14,601688,25.01,25.38,23.65,23.99,23.89,1.12,4.6882,3.9449,220915767.0,5440828235.0,140056000000.0,140056000000.0
2015-01-15,601688,26.02,26.55,24.45,24.83,25.01,1.01,4.0384,4.6997,263181277.0,6710985089.0,145712000000.0,145712000000.0
2015-01-16,601688,25.72,26.24,25.15,26.0,26.02,-0.3,-1.153,3.4094,190927442.0,4917097465.0,144032000000.0,144032000000.0
2015-01-19,601688,23.15,23.15,23.15,23.15,25.72,-2.57,-9.9922,0.6651,37243000.0,862175450.0,129640000000.0,129640000000.0
2015-01-20,601688,21.21,22.2,20.84,21.52,23.15,-1.94,-8.3801,7.4324,416215669.0,8924590309.0,118776000000.0,118776000000.0
2015-01-21,601688,22.76,23.1,21.58,21.99,21.21,1.55,7.3079,5.2782,295578059.0,6577081929.0,127456000000.0,127456000000.0
2015-01-22,601688,22.63,23.0,22.05,22.7,22.76,-0.13,-0.5712,3.278,183570383.0,4131564666.0,126728000000.0,126728000000.0
2015-01-23,601688,22.8,23.9,22.65,22.88,22.63,0.17,0.7512,3.7378,209319064.0,4854811474.0,127680000000.0,127680000000.0
2015-01-26,601688,22.44,23.1,22.13,22.96,22.8,-0.36,-1.5789,2.3031,128973005.0,2904911852.0,125664000000.0,125664000000.0
2015-01-27,601688,22.72,22.9,21.9,22.56,22.44,0.28,1.2478,2.745,153717277.0,3451091585.0,127232000000.0,127232000000.0
2015-01-28,601688,22.6,23.25,22.2,22.6,22.72,-0.12,-0.5282,2.7429,153601907.0,3493802496.0,126560000000.0,126560000000.0
2015-01-29,601688,21.86,22.38,21.63,22.11,22.6,-0.74,-3.2743,2.0258,113446490.0,2500603440.0,122416000000.0,122416000000.0
2015-01-30,601688,21.09,22.25,21.06,22.0,21.86,-0.77,-3.5224,1.932,108193013.0,2336163442.0,118104000000.0,118104000000.0
2015-02-02,601688,20.22,20.86,19.63,20.36,21.09,-0.87,-4.1252,2.7667,154937097.0,3131675626.0,113232000000.0,113232000000.0
2015-02-03,601688,21.21,21.34,20.24,20.53,20.22,0.99,4.8961,2.758,154449651.0,3202594886.0,118776000000.0,118776000000.0
2015-02-04,601688,21.47,22.99,21.16,21.31,21.21,0.26,1.2258,3.6386,203760885.0,4500132322.0,120232000000.0,120232000000.0
2015-02-05,601688,21.9,22.86,21.88,22.5,21.47,0.43,2.0028,4.7584,266470222.0,5949349792.0,122640000000.0,122640000000.0
2015-02-06,601688,21.88,22.45,21.25,21.38,21.9,-0.02,-0.0913,2.1879,122520258.0,2694912317.0,122528000000.0,122528000000.0
2015-02-09,601688,22.68,23.13,21.61,21.8,21.88,0.8,3.6563,3.2565,182361317.0,4111350938.0,127008000000.0,127008000000.0
2015-02-10,601688,22.93,23.35,22.5,22.68,22.68,0.25,1.1023,2.4045,134650214.0,3090865276.0,128408000000.0,128408000000.0
2015-02-11,601688,22.94,23.1,22.55,22.96,22.93,0.01,0.0436,1.5794,88447030.0,2016928730.0,128464000000.0,128464000000.0
2015-02-12,601688,22.68,22.94,22.31,22.89,22.94,-0.26,-1.1334,1.446,80975838.0,1831698562.0,127008000000.0,127008000000.0
2015-02-13,601688,22.78,23.3,22.41,22.86,22.68,0.1,0.4409,2.0659,115689485.0,2648312941.0,127568000000.0,127568000000.0
2015-02-16,601688,22.6,22.85,22.3,22.74,22.78,-0.18,-0.7902,1.4436,80841776.0,1827188769.0,126560000000.0,126560000000.0
2015-02-17,601688,22.73,23.27,22.61,22.71,22.6,0.13,0.5752,1.3919,77947582.0,1783911205.0,127288000000.0,127288000000.0
2015-02-25,601688,21.93,22.74,21.8,22.74,22.73,-0.8,-3.5196,1.206,67538375.0,1507018156.0,122808000000.0,122808000000.0
2015-02-26,601688,22.98,23.15,21.34,21.86,21.93,1.05,4.788,2.6544,148648248.0,3321323585.0,128688000000.0,128688000000.0
2015-02-27,601688,22.98,23.36,22.8,22.9,22.98,0.0,0.0,2.0707,115957193.0,2679856629.0,128688000000.0,128688000000.0
2015-03-02,601688,23.18,23.81,22.9,23.48,22.98,0.2,0.8703,2.6415,147926205.0,3446722804.0,129808000000.0,129808000000.0
2015-03-03,601688,21.92,22.99,21.81,22.9,23.18,-1.26,-5.4357,2.8264,158277988.0,3533533102.0,122752000000.0,122752000000.0
2015-03-04,601688,21.85,22.1,21.57,21.85,21.92,-0.07,-0.3193,1.5383,86144387.0,1878950395.0,122360000000.0,122360000000.0
2015-03-05,601688,21.72,22.15,21.41,21.73,21.85,-0.13,-0.595,1.6862,94428223.0,2050155772.0,121632000000.0,121632000000.0
2015-03-06,601688,21.54,22.18,21.49,21.78,21.72,-0.18,-0.8287,1.2492,69953853.0,1526766382.0,120624000000.0,120624000000.0
2015-03-09,601688,21.07,21.24,20.04,21.0,21.54,-0.47,-2.182,2.7294,152847370.0,3139750659.0,117992000000.0,117992000000.0
2015-03-10,601688,21.15,21.52,20.7,20.9,21.07,0.08,0.3797,1.5515,86883878.0,1828650189.0,118440000000.0,118440000000.0
2015-03-11,601688,21.24,21.79,21.15,21.23,21.15,0.09,0.4255,1.4749,82596794.0,1770754787.0,118944000000.0,118944000000.0
2015-03-12,601688,21.7,21.89,21.08,21.47,21.24,0.46,2.1657,1.7157,96079336.0,2073902620.0,121520000000.0,121520000000.0
2015-03-13,601688,21.89,22.5,21.71,21.9,21.7,0.19,0.8756,1.8405,103066386.0,2276335850.0,122584000000.0,122584000000.0
2015-03-16,601688,22.88,23.15,21.71,22.02,21.89,0.99,4.5226,3.0069,168385946.0,3800144416.0,128128000000.0,128128000000.0
2015-03-17,601688,23.87,24.25,23.46,23.78,22.88,0.99,4.3269,4.5447,254500649.0,6076169490.0,133672000000.0,133672000000.0
2015-03-18,601688,25.11,25.38,24.55,24.55,23.87,1.24,5.1948,4.5779,256359986.0,6401604340.0,140616000000.0,140616000000.0
2015-03-19,601688,24.86,25.22,24.6,25.18,25.11,-0.25,-0.9956,2.6469,148228591.0,3695923623.0,139216000000.0,139216000000.0
2015-03-20,601688,27.24,27.35,24.41,25.08,24.86,2.38,9.5736,6.7539,378221095.0,9955561393.0,152544000000.0,152544000000.0
2015-03-23,601688,28.19,28.28,26.85,27.37,27.24,0.95,3.4875,4.8442,271273269.0,7507931613.0,157864000000.0,157864000000.0
2015-03-24,601688,27.63,28.7,26.99,28.1,28.19,-0.56,-1.9865,3.6924,206775213.0,5755389342.0,154728000000.0,154728000000.0
2015-03-25,601688,26.71,28.19,26.58,27.68,27.63,-0.92,-3.3297,3.7689,211060469.0,5756676007.0,149576000000.0,149576000000.0
2015-03-26,601688,26.46,27.43,25.81,26.39,26.71,-0.25,-0.936,2.6583,148865923.0,3965340110.0,148176000000.0,148176000000.0
2015-03-27,601688,27.0,27.6,26.3,26.5,26.46,0.54,2.0408,2.5721,144037147.0,3906057165.0,151200000000.0,151200000000.0
2015-03-30,601688,28.79,29.38,26.78,27.07,27.0,1.79,6.6296,4.1302,231293150.0,6531029033.0,161224000000.0,161224000000.0
2015-03-31,601688,30.11,31.67,29.63,29.63,28.79,1.32,4.5849,7.0298,393669372.0,12198708792.0,168616000000.0,168616000000.0
2015-04-01,601688,30.86,31.29,29.44,30.0,30.11,0.75,2.4909,4.3204,241942602.0,7326199184.0,172816000000.0,172816000000.0
