,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2015-01-05,600028,中国石化,7.14,7.14,6.45,6.59,6.49,0.65,10.0154,1.2998,1186499645.0,8139851035.0,833923210299.0,651757258695.0
1,2015-01-06,600028,中国石化,7.0,7.22,6.81,7.18,7.14,-0.14,-1.9608,1.175,1089998433.0,7634184705.0,827962769480.0,649368699280.0
2,2015-01-07,600028,中国石化,7.18,7.26,6.76,6.91,7.0,0.18,2.5714,0.8487,787315301.0,5489033816.0,849253240695.0,666066751547.0
3,2015-01-08,600028,中国石化,6.85,7.41,6.83,7.09,7.18,-0.33,-4.5961,0.883,819090235.0,5822718449.0,810220710134.0,635453655724.0
4,2015-01-09,600028,中国石化,6.73,7.03,6.64,6.78,6.85,-0.12,-1.7518,0.6502,603203747.0,4120401749.0,796027062657.0,624321620879.0
5,2015-01-12,600028,中国石化,6.57,6.73,6.52,6.64,6.73,-0.16,-2.3774,0.3688,342106901.0,2267761318.0,777102199355.0,609478907753.0
6,2015-01-13,600028,中国石化,6.58,6.73,6.5,6.56,6.57,0.01,0.1522,0.3137,291014900.0,1924842686.0,778285003311.0,610406577323.0
7,2015-01-14,600028,中国石化,6.58,6.66,6.51,6.58,6.58,0.0,0.0,0.2637,244587549.0,1612551373.0,778285003311.0,610406577323.0
8,2015-01-15,600028,中国石化,6.9,6.95,6.56,6.63,6.58,0.32,4.8632,0.4677,433880937.0,2925547926.0,816134729916.0,640092003576.0
9,2015-01-16,600028,中国石化,6.93,7.04,6.83,6.85,6.9,0.03,0.4348,0.5321,493614190.0,3416396945.0,819683141785.0,642875012287.0
10,2015-01-19,600028,中国石化,6.24,6.74,6.24,6.53,6.93,-0.69,-9.9567,0.6346,588669382.0,3795939510.0,738069668794.0,578865811930.0
11,2015-01-20,600028,中国石化,6.32,6.44,6.19,6.27,6.24,0.08,1.2821,0.4375,405835783.0,2565096319.0,747532100445.0,586287168493.0
12,2015-01-21,600028,中国石化,6.6,6.7,6.24,6.31,6.32,0.28,4.4304,0.5464,506850477.0,3275542927.0,780650611224.0,612261916464.0
13,2015-01-22,600028,中国石化,6.58,6.64,6.52,6.58,6.6,-0.02,-0.303,0.3528,327285907.0,2153629817.0,778285003311.0,610406577323.0
14,2015-01-23,600028,中国石化,6.6,6.82,6.55,6.6,6.58,0.02,0.304,0.4619,428526896.0,2854996106.0,780650611224.0,612261916464.0
15,2015-01-26,600028,中国石化,6.67,6.7,6.52,6.58,6.6,0.07,1.0606,0.3039,281930774.0,1861576429.0,788930238919.0,618755603457.0
16,2015-01-27,600028,中国石化,6.48,6.72,6.38,6.67,6.67,-0.19,-2.8486,0.4253,394545028.0,2580314352.0,766456963747.0,601129881619.0
17,2015-01-28,600028,中国石化,6.34,6.46,6.31,6.43,6.48,-0.14,-2.1605,0.3311,307168322.0,1958554066.0,749897708358.0,588142507634.0
18,2015-01-29,600028,中国石化,6.16,6.21,6.05,6.2,6.34,-0.18,-2.8391,0.6519,604762591.0,3711845017.0,728607237142.0,571444455366.0
19,2015-01-30,600028,中国石化,6.03,6.17,6.02,6.14,6.16,-0.13,-2.1104,0.5416,502445638.0,3057447880.0,713230785709.0,559384750951.0
20,2015-02-02,600028,中国石化,5.87,6.0,5.85,5.98,6.03,-0.16,-2.6534,0.4759,441451116.0,2613810847.0,694305922407.0,544542037825.0
